mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,accelerationToWeightRatio
18.0,8,307.0,130.0,3504,12.0,70,1,chevrolet chevelle malibu,0.0034246575342465
15.0,8,350.0,165.0,3693,11.5,70,1,buick skylark 320,0.0031139994584348
18.0,8,318.0,150.0,3436,11.0,70,1,plymouth satellite,0.0032013969732246
16.0,8,304.0,150.0,3433,12.0,70,1,amc rebel sst,0.0034954849985435
17.0,8,302.0,140.0,3449,10.5,70,1,ford torino,0.0030443606842563
15.0,8,429.0,198.0,4341,10.0,70,1,ford galaxie 500,0.0023036166781847
14.0,8,454.0,220.0,4354,9.0,70,1,chevrolet impala,0.0020670647680293
14.0,8,440.0,215.0,4312,8.5,70,1,plymouth fury iii,0.0019712430426716
14.0,8,455.0,225.0,4425,10.0,70,1,pontiac catalina,0.0022598870056497
15.0,8,390.0,190.0,3850,8.5,70,1,amc ambassador dpl,0.0022077922077922
23.514572864321607,4,133.0,115.0,3090,17.5,70,2,citroen ds-21 pallas,0.0056634304207119
23.514572864321607,8,350.0,165.0,4142,11.5,70,1,chevrolet chevelle concours (sw),0.0027764365041042
23.514572864321607,8,351.0,153.0,4034,11.0,70,1,ford torino (sw),0.0027268220128904
23.514572864321607,8,383.0,175.0,4166,10.5,70,1,plymouth satellite (sw),0.0025204032645223
23.514572864321607,8,360.0,175.0,3850,11.0,70,1,amc rebel sst (sw),0.0028571428571428
15.0,8,383.0,170.0,3563,10.0,70,1,dodge challenger se,0.0028066236317709
14.0,8,340.0,160.0,3609,8.0,70,1,plymouth 'cuda 340,0.0022166805209199
23.514572864321607,8,302.0,140.0,3353,8.0,70,1,ford mustang boss 302,0.0023859230539815
15.0,8,400.0,150.0,3761,9.5,70,1,chevrolet monte carlo,0.0025259239563945
14.0,8,455.0,225.0,3086,10.0,70,1,buick estate wagon (sw),0.0032404406999351
24.0,4,113.0,95.0,2372,15.0,70,3,toyota corona mark ii,0.0063237774030354
22.0,6,198.0,95.0,2833,15.5,70,1,plymouth duster,0.0054712319096364
18.0,6,199.0,97.0,2774,15.5,70,1,amc hornet,0.0055875991348233
21.0,6,200.0,85.0,2587,16.0,70,1,ford maverick,0.0061847700038654
27.0,4,97.0,88.0,2130,14.5,70,3,datsun pl510,0.0068075117370892
26.0,4,97.0,46.0,1835,20.5,70,2,volkswagen 1131 deluxe sedan,0.0111716621253406
25.0,4,110.0,87.0,2672,17.5,70,2,peugeot 504,0.0065494011976047
24.0,4,107.0,90.0,2430,14.5,70,2,audi 100 ls,0.0059670781893004
25.0,4,104.0,95.0,2375,17.5,70,2,saab 99e,0.0073684210526315
26.0,4,121.0,113.0,2234,12.5,70,2,bmw 2002,0.0055953446732318
21.0,6,199.0,90.0,2648,15.0,70,1,amc gremlin,0.0056646525679758
10.0,8,360.0,215.0,4615,14.0,70,1,ford f250,0.0030335861321776
10.0,8,307.0,200.0,4376,15.0,70,1,chevy c20,0.0034277879341864
11.0,8,318.0,210.0,4382,13.5,70,1,dodge d200,0.0030807850296668
9.0,8,304.0,193.0,4732,18.5,70,1,hi 1200d,0.003909551986475
27.0,4,97.0,88.0,2130,14.5,71,3,datsun pl510,0.0068075117370892
28.0,4,140.0,90.0,2264,15.5,71,1,chevrolet vega 2300,0.0068462897526501
25.0,4,113.0,95.0,2228,14.0,71,3,toyota corona,0.0062836624775583
25.0,4,98.0,105.0825,2046,19.0,71,1,ford pinto,0.0092864125122189
23.514572864321607,4,97.0,48.0,1978,20.0,71,2,volkswagen super beetle 117,0.0101112234580384
19.0,6,232.0,100.0,2634,13.0,71,1,amc gremlin,0.0049354593773728
16.0,6,225.0,105.0,3439,15.5,71,1,plymouth satellite custom,0.0045071241640011
17.0,6,250.0,100.0,3329,15.5,71,1,chevrolet chevelle malibu,0.0046560528687293
19.0,6,250.0,88.0,3302,15.5,71,1,ford torino 500,0.0046941247728649
18.0,6,232.0,100.0,3288,15.5,71,1,amc matador,0.0047141119221411
14.0,8,350.0,165.0,4209,12.0,71,1,chevrolet impala,0.0028510334996436
14.0,8,400.0,175.0,4464,11.5,71,1,pontiac catalina brougham,0.0025761648745519
14.0,8,351.0,153.0,4154,13.5,71,1,ford galaxie 500,0.0032498796340876
14.0,8,318.0,150.0,4096,13.0,71,1,plymouth fury iii,0.003173828125
12.0,8,383.0,180.0,4955,11.5,71,1,dodge monaco (sw),0.0023208879919273
13.0,8,400.0,170.0,4746,12.0,71,1,ford country squire (sw),0.0025284450063211
13.0,8,400.0,175.0,5140,12.0,71,1,pontiac safari (sw),0.0023346303501945
18.0,6,258.0,110.0,2962,13.5,71,1,amc hornet sportabout (sw),0.0045577312626603
22.0,4,140.0,72.0,2408,19.0,71,1,chevrolet vega (sw),0.0078903654485049
19.0,6,250.0,100.0,3282,15.0,71,1,pontiac firebird,0.0045703839122486
18.0,6,250.0,88.0,3139,14.5,71,1,ford mustang,0.0046193055113093
23.0,4,122.0,86.0,2220,14.0,71,1,mercury capri 2000,0.0063063063063063
28.0,4,116.0,90.0,2123,14.0,71,2,opel 1900,0.0065944418276024
30.0,4,79.0,70.0,2074,19.5,71,2,peugeot 304,0.0094021215043394
30.0,4,88.0,76.0,2065,14.5,71,2,fiat 124b,0.0070217917675544
31.0,4,71.0,65.0,1773,19.0,71,3,toyota corolla 1200,0.0107163000564015
35.0,4,72.0,69.0,1613,18.0,71,3,datsun 1200,0.0111593304401735
27.0,4,97.0,60.0,1834,19.0,71,2,volkswagen model 111,0.010359869138495
26.0,4,91.0,70.0,1955,20.5,71,1,plymouth cricket,0.0104859335038363
24.0,4,113.0,95.0,2278,15.5,72,3,toyota corona hardtop,0.0068042142230026
25.0,4,97.5,80.0,2126,17.0,72,1,dodge colt hardtop,0.0079962370649106
23.0,4,97.0,54.0,2254,23.5,72,2,volkswagen type 3,0.0104259094942324
20.0,4,140.0,90.0,2408,19.5,72,1,chevrolet vega,0.0080980066445182
21.0,4,122.0,86.0,2226,16.5,72,1,ford pinto runabout,0.0074123989218328
13.0,8,350.0,165.0,4274,12.0,72,1,chevrolet impala,0.00280767430978
14.0,8,400.0,175.0,4385,12.0,72,1,pontiac catalina,0.0027366020524515
15.0,8,318.0,150.0,4135,13.5,72,1,plymouth fury iii,0.0032648125755743
14.0,8,351.0,153.0,4129,13.0,72,1,ford galaxie 500,0.0031484620973601
17.0,8,304.0,150.0,3672,11.5,72,1,amc ambassador sst,0.0031318082788671
11.0,8,429.0,208.0,4633,11.0,72,1,mercury marquis,0.0023742715303259
13.0,8,350.0,155.0,4502,13.5,72,1,buick lesabre custom,0.002998667258996
12.0,8,350.0,160.0,4456,13.5,72,1,oldsmobile delta 88 royale,0.0030296229802513
13.0,8,400.0,190.0,4422,12.5,72,1,chrysler newport royal,0.0028267752148349
19.0,3,70.0,97.0,2330,13.5,72,3,mazda rx2 coupe,0.005793991416309
15.0,8,304.0,150.0,3892,12.5,72,1,amc matador (sw),0.0032117163412127
13.0,8,307.0,130.0,4098,14.0,72,1,chevrolet chevelle concours (sw),0.0034163006344558
13.0,8,302.0,140.0,4294,16.0,72,1,ford gran torino (sw),0.0037261294829995
14.0,8,318.0,150.0,4077,14.0,72,1,plymouth satellite custom (sw),0.0034338974736325
18.0,4,121.0,112.0,2933,14.5,72,2,volvo 145e (sw),0.004943743607228
22.0,4,121.0,76.0,2511,18.0,72,2,volkswagen 411 (sw),0.007168458781362
